cityid,name,locality,cost,cuisine,votes,rating
13,Jalaram Restaurant,"Maurya Time Square,Sola, North Ahmedabad",600,"North Indian,  Gujarati,  Chinese,  South Indian",27,4.1
13,Jamanvaar,"Sundaram Arcade,Sola, North Ahmedabad",300,Gujarati,22,3.6
13,Java+,"Courtyard Marriott,Satellite, West Ahmedabad",1000,"Continental,  Fast Food",52,4.3
13,Just Live Restaurant,"Maharaja Complex,Navrangpura, West Ahmedabad",1200,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mexican",38,4.4
13,Kabhi B,"Ambawadi, West Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",10,4.1
13,Kabhi B,"Amrapali Shopping Mall,Bopal, West Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",8,4.8
13,Kabhi B,"Ashram Road, Central Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",2,4.6
13,Kabhi B,"Bodakdev, West Ahmedabad",500,"Desserts,  Bakery and Confectionary,  Fast Food",2,5
13,Kabhi B,"Chandkheda, North Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",2,3
13,Kabhi B,"District Shopping Centre,Gandhinagar, North Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",12,4.5
13,Kabhi B,"Motera, North Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",3,3.7
13,Kabhi B,"Ratnadeep Complex,Satellite, West Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",1,5
13,Kabhi B,"Shahibaug, North Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",8,3.6
13,Kabhi B,"Shilp Corner,Memnagar, West Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",1,5
13,Kabhi B,"Sobo Centre,Bopal, West Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",1,1
13,Kabhi B,"Sukh Sagar Complex,Bapunagar, East Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",1,1
13,Kabhi B,"Sukh Shanti Complex,Paldi, Central Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",2,4.4
13,Kabhi B,"Super Mall 1,Gandhinagar, North Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",4,3.8
13,Kabhi B,"Twinkle Complex,Satellite, West Ahmedabad",200,"Desserts,  Bakery and Confectionary,  Fast Food",4,3.1
