train_no,train_name,source_station_code,destination_station_code
95733,K101,CSTM,KYN
95734,DK22,KYN,DR
95735,DK27,DR,KYN
95736,K102,KYN,CSTM
95737,K103,CSTM,KYN
95738,K106,KYN,CSTM
95739,K111,CSTM,KYN
95740,K112,KYN,CSTM
95741,K115,CSTM,KYN
95742,K116,KYN,CSTM
95743,K119,CSTM,KYN
95744,K128,KYN,CSTM
95745,K121,CSTM,KYN
95746,K138,KYN,CSTM
95901,T17,CSTM,TNA
95902,T8,TNA,CSTM
95903,T27,CSTM,TNA
95904,T36,TNA,CSTM
95905,T33,CSTM,TNA
95906,T42,TNA,CSTM
95907,T43,CSTM,TNA
95908,T50,TNA,CSTM
95909,T107,CSTM,TNA
95910,T62,TNA,CSTM
95911,T117,CSTM,TNA
95912,T74,TNA,CSTM
95913,T127,CSTM,TNA
95917,T117,CSTM,TNA
95919,T131,CSTM,TNA
96101,S1,KYN,KJT
96102,S2,KJT,KYN
96103,TS1,KYN,KJT
96104,S4,KJT,KYN
96105,TS3,KYN,KJT
96106,S6,KJT,KYN
96107,S3,KYN,KJT
96108,TS2,KJT,KYN
96109,S5,KYN,KJT
96110,TS4,KJT,KYN
96111,TS5,KYN,KJT
96112,S50,KJT,KYN
96113,TS7,KYN,KJT
96114,S48,KJT,CSTM
96115,TS9,KYN,KJT
96116,S50,KJT,CSTM
96117,TS11,KYN,KJT
96119,S39,KYN,KJT
96121,S41,KYN,KJT
97000,K2,KYN,CSTM
97002,K2,KYN,CSTM
97004,K4,KYN,CSTM
97006,K6,KYN,CSTM
97008,K8,KYN,CSTM
97010,K10,KYN,CSTM
97011,K3,CSTM,KYN
97012,DK2,KYN,DR
97014,K12,KYN,CSTM
97015,K5,CSTM,KYN
97016,K16,KYN,CSTM
97017,K7,CSTM,KYN
97018,K18,KYN,CSTM
97019,K9,CSTM,KYN
97020,K22,KYN,CSTM
97021,K13,CSTM,KYN
97022,K24,KYN,CSTM
97023,DK1,DR,KYN
97024,K26 L SPL,KYN,CSTM
97025,K15,CSTM,KYN
97026,DK6,KYN,DR
97027,K17,CSTM,KYN
97028,DK8,KYN,DR
97029,K23,CSTM,KYN
97030,K38,KYN,CSTM
97031,K25,CSTM,KYN
97032,K40,KYN,CSTM
97033,TK1,TNA,KYN
97034,K44,KYN,CSTM
97035,DK3,DR,KYN
97036,K46,KYN,CSTM
97037,K29,CSTM,KYN
97038,K48,KYN,CSTM
97039,K31,CSTM,KYN
97040,K50,KYN,CSTM
97041,K35,CSTM,KYN
97043,DK7,DR,KYN
97044,K52,KYN,CSTM
97045,DK9,DR,KYN
97046,TK2,KYN,TNA
97047,K37,CSTM,KYN
97048,K54,KYN,CSTM
97049,K39,CSTM,KYN
97050,DK12,KYN,DR
97052,K58,KYN,CSTM
97053,K43,CSTM,KYN
97054,K60,KYN,CSTM
97055,K45,CSTM,KYN
97056,TK4,KYN,TNA
97057,K47,CSTM,KYN
97058,K62,KYN,CSTM
97059,K49,CSTM,KYN
97060,K64,KYN,CSTM
97061,K51,CSTM,KYN
97062,K66,KYN,CSTM
97063,DK11,DR,KYN
97065,K55,CSTM,KYN
97066,K68,KYN,CSTM
97067,K57,CSTM,KYN
97068,K70,KYN,CSTM
97069,K59,CSTM,KYN
97070,K72,KYN,CSTM
97071,K61,CSTM,KYN
97072,DK14,KYN,DR
97073,TK3,TNA,KYN
97074,K74,KYN,CSTM
97075,K63,CSTM,KYN
97076,K78,KYN,CSTM
97078,K80,KYN,CSTM
97079,K65,CSTM,KYN
97080,K82,KYN,CSTM
97081,K67,CSTM,KYN
97082,K84,KYN,CSTM
97083,K69,CSTM,KYN
97084,K86,KYN,CSTM
97085,K71,CSTM,KYN
97086,TK6,KYN,TNA
97087,DK13,DR,KYN
97088,K88,KYN,CSTM
97089,K75,CSTM,KYN
97090,K90,KYN,CSTM
97091,K77,CSTM,KYN
97092,DK16,KYN,DR
97093,K79,CSTM,KYN
97094,TK8,KYN,TNA
97095,K81,CSTM,KYN
97096,K92,KYN,CSTM
97098,DK18,KYN,DR
97100,K96,KYN,CSTM
97101,K83,CSTM,KYN
97102,K100,KYN,CSTM
97103,K85,CSTM,KYN
97104,K104,KYN,CSTM
97105,K87,CSTM,KYN
97106,K108,KYN,CSTM
97107,DK19,DR,KYN
97108,K110,KYN,CSTM
97110,DK24,KYN,DR
97111,K91,CSTM,KYN
97112,K114,KYN,CSTM
97113,K93,CSTM,KYN
97114,K118,KYN,CSTM
97115,DK23,DR,KYN
97117,K97,CSTM,KYN
97118,TK10,KYN,TNA
97119,K99,CSTM,KYN
97120,DK26,KYN,DR
97121,DK25,DR,KYN
97122,K120,KYN,CSTM
97123,DK29,DR,KYN
97124,K122,KYN,CSTM
97125,K105,CSTM,KYN
97126,DK28,KYN,DR
97127,K107,CSTM,KYN
97128,K124,KYN,CSTM
97129,K109,CSTM,KYN
97130,TK12,KYN,TNA
97132,DK30,KYN,DR
97133,K113,CSTM,KYN
97134,DK32,KYN,DR
97135,DK31,DR,KYN
97136,K126,KYN,CSTM
97137,DK33,DR,KYN
97138,DK34,KYN,DR
97139,K117,CSTM,KYN
97141,DK35,DR,KYN
97142,K130,KYN,CSTM
97143,DK37,DR,KYN
97144,K132,KYN,CSTM
97145,DK39,DR,KYN
97146,K134,KYN,CSTM
97147,K123,CSTM,KYN
97149,K125,CSTM,KYN
97150,TK14,KYN,TNA
97151,K127,CSTM,KYN
97152,TK16,KYN,TNA
97153,K129,CSTM,KYN
97155,DK41,DR,KYN
97301,T1,CSTM,TNA
97302,T2,TNA,CSTM
97303,T3,CSTM,TNA
97304,T4,TNA,CSTM
97305,T5,CSTM,TNA
97306,T6,TNA,CSTM
97307,T7,CSTM,TNA
97308,T10,TNA,CSTM
97309,T9,CSTM,TNA
97310,T12,TNA,CSTM
97311,T11,CSTM,TNA
97312,T14,TNA,CSTM
97313,T13,CSTM,TNA
97314,T16,TNA,CSTM
97315,T15,CSTM,TNA
97316,T18,TNA,CSTM
97317,T19,CSTM,TNA
97318,T20,TNA,CSTM
97319,T21,CSTM,TNA
97320,T22,TNA,CSTM
97321,T23,CSTM,TNA
97322,T24,TNA,CSTM
97323,T25,CSTM,TNA
97324,T26,TNA,CSTM
97325,T29,CSTM,TNA
97326,T28,TNA,CSTM
97327,T31,CSTM,TNA
97328,T30,TNA,CSTM
97329,T35,CSTM,TNA
97330,T32,TNA,CSTM
97331,T37,CSTM,TNA
97332,T34,TNA,CSTM
97333,T39,CSTM,TNA
97334,T38,TNA,CSTM
97335,T41,CSTM,TNA
97336,T4O,TNA,CSTM
97337,T45,CSTM,TNA
97338,T44,TNA,CSTM
97339,T47,CSTM,TNA
97340,T46,TNA,CSTM
97341,T49,CSTM,TNA
97342,T48,TNA,CSTM
97343,T51,CSTM,TNA
97344,T52,TNA,CSTM
97345,T53,CSTM,TNA
97346,T54,TNA,CSTM
97347,T55,CSTM,TNA
97348,T56,TNA,CSTM
97349,T57,CSTM,TNA
97350,T58,TNA,CSTM
97351,T59,CSTM,TNA
97352,T60,TNA,CSTM
97353,T61,CSTM,TNA
97354,T64,TNA,CSTM
97355,T63,CSTM,TNA
97356,T66,TNA,CSTM
97357,T65,CSTM,TNA
97358,T68,TNA,CSTM
97359,T67,CSTM,TNA
97360,T70,TNA,CSTM
97361,T69,CSTM,TNA
97362,T72,TNA,CSTM
97363,T 71,CSTM,TNA
97364,T76,TNA,CSTM
97365,T 73,CSTM,TNA
97366,T78,TNA,CSTM
97367,T 75,CSTM,TNA
97368,T80,TNA,CSTM
97369,T 77,CSTM,TNA
97370,T82,TNA,CSTM
97371,T79,CSTM,TNA
97372,T 84,TNA,CSTM
97373,T81,CSTM,TNA
97374,T 86,TNA,CSTM
97375,DT1,DR,TNA
97376,T 88,TNA,CSTM
97377,T83,CSTM,TNA
97378,T90,TNA,CSTM
97379,T85,CSTM,TNA
97380,T92,TNA,CSTM
97381,T87,CSTM,TNA
97382,T94,TNA,CSTM
97383,T89,CSTM,TNA
97384,DT2,TNA,DR
97385,T91,CSTM,TNA
97386,T96,TNA,CSTM
97387,T93,CSTM,TNA
97388,T98,TNA,CSTM
97389,T95,CSTM,TNA
97390,T100,TNA,CSTM
97391,T97,CSTM,TNA
97392,T102,TNA,CSTM
97393,T99,CSTM,TNA
97394,T104,TNA,CSTM
97395,T101,CSTM,TNA
97396,T106,TNA,CSTM
97397,T103,CSTM,TNA
97398,T108,TNA,CSTM
97399,T105,CSTM,TNA
97400,T110,TNA,CSTM
97401,T109,CSTM,TNA
97402,T112,TNA,CSTM
97403,T111,CSTM,TNA
97404,T114,TNA,CSTM
97405,T113,CSTM,TNA
97406,DT4,TNA,DR
97407,T115,CSTM,TNA
97408,T116,TNA,CSTM
97409,DT3,DR,TNA
97410,DT6,TNA,DR
97411,T119,CSTM,TNA
97412,T118,TNA,CSTM
97413,T121,CSTM,TNA
97414,T120,TNA,CSTM
97415,DT5,DR,TNA
97416,T122,TNA,CSTM
97417,T123,CSTM,TNA
97418,T124,TNA,CSTM
97419,T125,CSTM,TNA
97420,DT8,TNA,DR
97421,T129,CSTM,TNA
97422,T126,TNA,CSTM
97423,T131,CSTM,TNA
97424,DT10,TNA,DR
97425,T133,CSTM,TNA
97426,T128,TNA,CSTM
97427,T135,CSTM,TNA
97428,T130,TNA,CSTM
97429,DT7,DR,TNA
97430,DT12,TNA,DR
97431,T137,CSTM,TNA
97432,T132,TNA,CSTM
97433,T139,CSTM,TNA
97434,T134,TNA,CSTM
97435,T141,CSTM,TNA
97436,T136,TNA,CSTM
97437,T143,CSTM,TNA
97438,T138,TNA,CSTM
97439,T145,CSTM,TNA
97440,T140,TNA,CSTM
97441,T147,CSTM,TNA
97442,DT14,TNA,DR
97444,T146,TNA,CSTM
97445,T149,CSTM,TNA
97446,T148,TNA,CSTM
98000,PL2,PNVL,CSTM
98001,PL1,CSTM,PNVL
98002,PL4,PNVL,CSTM
98003,PL3,CSTM,PNVL
98004,PL6,PNVL,CSTM
98005,PL5,CSTM,PNVL
98006,PL8,PNVL,CSTM
98007,PL7,CSTM,PNVL
98008,PL10,PNVL,CSTM
98009,PL9,CSTM,PNVL
98010,PL12,PNVL,CSTM
98011,PL11,CSTM,PNVL
98012,PL14,PNVL,CSTM
98014,PL16,PNVL,CSTM
98015,PL13,CSTM,PNVL
98016,PL18,PNVL,CSTM
98017,PL15,CSTM,PNVL
98019,PL17,CSTM,PNVL
98020,PL20,PNVL,CSTM
