cityid,cityname,state
650,Peravurani,Tamil Nadu
651,Peringathur,Kerala
652,Perinthalmanna,Kerala
653,Periyakulam,Tamil Nadu
654,Periyasemur,Tamil Nadu
655,Pernampattu,Tamil Nadu
656,Perumbavoor,Kerala
657,Petlad,Gujarat
658,Phagwara,Punjab
659,Phalodi,Rajasthan
660,Phaltan,Maharashtra
661,Phillaur,Punjab
662,Phulabani,Odisha
663,Phulera,Rajasthan
664,Phulpur,Uttar Pradesh
665,Phusro,Jharkhand
666,Pihani,Uttar Pradesh
667,Pilani,Rajasthan
668,Pilibanga,Rajasthan
669,Pilibhit,Uttar Pradesh
670,Pilkhuwa,Uttar Pradesh
671,Pindwara,Rajasthan
672,Pinjore,Haryana
673,Pipar City,Rajasthan
674,Pipariya,Madhya Pradesh
675,Piriyapatna,Karnataka
676,Piro,Bihar
677,Pithampur,Madhya Pradesh
678,Pithapuram,Andhra Pradesh
679,Pithoragarh,Uttarakhand
680,Pollachi,Tamil Nadu
681,Polur,Tamil Nadu
682,Pondicherry,Puducherry
683,Ponnani,Kerala
684,Ponneri,Tamil Nadu
685,Ponnur,Andhra Pradesh
686,Porbandar,Gujarat
687,Porsa,Madhya Pradesh
688,Port Blair,Andaman and Nicobar Islands
689,Powayan,Uttar Pradesh
690,Prantij,Rajasthan
691,Pratapgarh,Rajasthan
692,Pratapgarh,Tripura
693,Prithvipur,Madhya Pradesh
694,Proddatur,Andhra Pradesh
695,Pudukkottai,Tamil Nadu
696,Pudupattinam,Tamil Nadu
697,Pukhrayan,Uttar Pradesh
698,Pulgaon,Maharashtra
699,Puliyankudi,Tamil Nadu
700,Punalur,Kerala
701,Punch,Jammu and Kashmir
702,Pune,Maharashtra
703,Punganur,Andhra Pradesh
704,Punjaipugalur,Tamil Nadu
705,Puranpur,Uttar Pradesh
706,Puri,Odisha
707,Purna,Maharashtra
708,Purnia,Bihar
709,PurqUrban Agglomerationzi,Uttar Pradesh
710,Purulia,West Bengal
711,Purwa,Uttar Pradesh
712,Pusad,Maharashtra
713,Puthuppally,Kerala
714,Puttur,Andhra Pradesh
715,Puttur,Karnataka
716,Qadian,Punjab
717,Raayachuru,Karnataka
718,Rabkavi Banhatti,Karnataka
719,Radhanpur,Gujarat
720,Rae Bareli,Uttar Pradesh
721,Rafiganj,Bihar
722,Raghogarh-Vijaypur,Madhya Pradesh
723,Raghunathganj,West Bengal
724,Raghunathpur,West Bengal
725,Rahatgarh,Madhya Pradesh
726,Rahuri,Maharashtra
727,Raiganj,West Bengal
728,Raigarh,Chhattisgarh
729,Raikot,Punjab
730,Raipur,Chhattisgarh
731,Rairangpur,Odisha
732,Raisen,Madhya Pradesh
733,Raisinghnagar,Rajasthan
734,Rajagangapur,Odisha
735,Rajahmundry,Andhra Pradesh
736,Rajakhera,Rajasthan
737,Rajaldesar,Rajasthan
738,Rajam,Andhra Pradesh
739,Rajampet,Andhra Pradesh
740,Rajapalayam,Tamil Nadu
741,Rajauri,Jammu and Kashmir
742,Rajgarh,Madhya Pradesh
743,Rajgarh (Alwar),Rajasthan
744,Rajgarh (Churu),Rajasthan
745,Rajgir,Bihar
746,Rajkot,Gujarat
747,Rajnandgaon,Chhattisgarh
748,Rajpipla,Gujarat
749,Rajpura,Punjab
750,Rajsamand,Rajasthan
751,Rajula,Gujarat
752,Rajura,Maharashtra
753,Ramachandrapuram,Andhra Pradesh
754,Ramagundam,Telangana
755,Ramanagaram,Karnataka
756,Ramanathapuram,Tamil Nadu
757,Ramdurg,Karnataka
758,Rameshwaram,Tamil Nadu
759,Ramganj Mandi,Rajasthan
760,Ramgarh,Jharkhand
761,Ramnagar,Uttarakhand
762,Ramnagar,Bihar
763,Ramngarh,Rajasthan
764,Rampur,Uttar Pradesh
765,Rampur Maniharan,Uttar Pradesh
766,Rampura Phul,Punjab
767,Rampurhat,West Bengal
768,Ramtek,Maharashtra
769,Ranaghat,West Bengal
770,Ranavav,Gujarat
771,Ranchi,Jharkhand
772,Ranebennuru,Karnataka
773,Rangia,Assam
774,Rania,Haryana
775,Ranibennur,Karnataka
776,Ranipet,Tamil Nadu
777,Rapar,Gujarat
778,Rasipuram,Tamil Nadu
779,Rasra,Uttar Pradesh
780,Ratangarh,Rajasthan
781,Rath,Uttar Pradesh
782,Ratia,Haryana
783,Ratlam,Madhya Pradesh
784,Ratnagiri,Maharashtra
785,Rau,Madhya Pradesh
786,Raurkela,Odisha
787,Raver,Maharashtra
788,Rawatbhata,Rajasthan
789,Rawatsar,Rajasthan
790,Raxaul Bazar,Bihar
791,Rayachoti,Andhra Pradesh
792,Rayadurg,Andhra Pradesh
793,Rayagada,Odisha
794,Reengus,Rajasthan
795,Rehli,Madhya Pradesh
796,Renigunta,Andhra Pradesh
797,Renukoot,Uttar Pradesh
798,Reoti,Uttar Pradesh
799,Repalle,Andhra Pradesh
800,Revelganj,Bihar
801,Rewa,Madhya Pradesh
802,Rewari,Haryana
803,Rishikesh,Uttarakhand
804,Risod,Maharashtra
805,Robertsganj,Uttar Pradesh
806,Robertson Pet,Karnataka
807,Rohtak,Haryana
808,Ron,Karnataka
809,Roorkee,Uttarakhand
810,Rosera,Bihar
811,Rudauli,Uttar Pradesh
812,Rudrapur,Uttarakhand
813,Rudrapur,Uttar Pradesh
814,Rupnagar,Punjab
815,SUrban Agglomerationr,Uttar Pradesh
816,Sabalgarh,Madhya Pradesh
817,Sadabad,Uttar Pradesh
818,Sadalagi,Karnataka
819,Sadasivpet,Telangana
820,Sadri,Rajasthan
821,Sadulpur,Rajasthan
822,Sadulshahar,Rajasthan
823,Safidon,Haryana
824,Safipur,Uttar Pradesh
825,Sagar,Madhya Pradesh
826,Sagara,Karnataka
827,Sagwara,Rajasthan
828,Saharanpur,Uttar Pradesh
829,Saharsa,Bihar
830,Sahaspur,Uttar Pradesh
831,Sahaswan,Uttar Pradesh
832,Sahawar,Uttar Pradesh
833,Sahibganj,Jharkhand
834,Sahjanwa,Uttar Pradesh
835,Saidpur,Uttar Pradesh
836,Saiha,Mizoram
837,Sailu,Maharashtra
838,Sainthia,West Bengal
839,Sakaleshapura,Karnataka
840,Sakti,Chhattisgarh
841,Salaya,Gujarat
842,Salem,Tamil Nadu
843,Salur,Andhra Pradesh
844,Samalkha,Haryana
845,Samalkot,Andhra Pradesh
846,Samana,Punjab
847,Samastipur,Bihar
848,Sambalpur,Odisha
849,Sambhal,Uttar Pradesh
850,Sambhar,Rajasthan
851,Samdhan,Uttar Pradesh
852,Samthar,Uttar Pradesh
853,Sanand,Gujarat
854,Sanawad,Madhya Pradesh
855,Sanchore,Rajasthan
856,Sandi,Uttar Pradesh
857,Sandila,Uttar Pradesh
858,Sanduru,Karnataka
859,Sangamner,Maharashtra
860,Sangareddy,Telangana
861,Sangaria,Rajasthan
862,Sangli,Maharashtra
863,Sangole,Maharashtra
864,Sangrur,Punjab
865,Sankarankovil,Tamil Nadu
866,Sankari,Tamil Nadu
867,Sankeshwara,Karnataka
868,Santipur,West Bengal
869,Sarangpur,Madhya Pradesh
870,Sardarshahar,Rajasthan
871,Sardhana,Uttar Pradesh
872,Sarni,Madhya Pradesh
873,Sarsod,Haryana
874,Sasaram,Bihar
875,Sasvad,Maharashtra
876,Satana,Maharashtra
877,Satara,Maharashtra
878,Sathyamangalam,Tamil Nadu
879,Satna,Madhya Pradesh
880,Sattenapalle,Andhra Pradesh
881,Sattur,Tamil Nadu
882,Saunda,Jharkhand
883,Saundatti-Yellamma,Karnataka
884,Sausar,Madhya Pradesh
885,Savanur,Karnataka
886,Savarkundla,Gujarat
887,Savner,Maharashtra
888,Sawai Madhopur,Rajasthan
889,Sawantwadi,Maharashtra
890,Sedam,Karnataka
891,Sehore,Madhya Pradesh
892,Sendhwa,Madhya Pradesh
893,Seohara,Uttar Pradesh
894,Seoni,Madhya Pradesh
895,Seoni-Malwa,Madhya Pradesh
896,Shahabad,Karnataka
